가수명,노래제목,발매일,장르,가사,좋아요수
사이로(415),우리 둘 사이로,2019.08.29,발라드,Forget me close your eyesForget me close your eyes돌아보지 않을 거야 나 이제Forget me close your eyesForget me close your eyes돌아보지 않을 거야 나 이제Forget me close your eyesForget me close your eyes wooleak out 우리 둘 사이로아무렇지 않을 너는이 맘 알고 있을까두려워널 보낼 때가 돼버린 걸까 이제매일 헤매이는 밤잠들 때마다 미워지지만 괜찮아하루에도 난 수백 번 고민해너 없을 때에도그날 너에게 전할 얘기가나를 자꾸 괴롭히는 걸내일이면 다 지워버려야지 이젠이번에는 널 다 잊을 수 있을까Forget me close your eyesForget me close your eyes돌아보지 않을거야 나 이제Forget me close your eyesForget me close your eyes wooleak out 우리 둘 사이로네가 없는 나의 하루는 어떨진 몰라근데 자꾸만 내 맘이 조금씩나도 모르게 흘러가는 걸그저 서롤 힘들게굴지 않아도 되는 날에행복하길 바래하루에도 난 수백 번 고민해같이 있을 때에도지금 너에게 전할 얘기가너를 더 아프게 하는 걸까내일이면 다 지워낸 뒤겠지 이젠이번에는 널 다 잊을 수 있을까Forget me close your eyesForget me close your eyes돌아보지 않을 거야 나 이제Forget me close your eyesForget me close your eyes wooleak out 우리 둘 사이로그날이 그립겠지만잊을 수 없게 됐지만이제 돌이킬 수 없는 날이 됐지만같은 시간 속 우린 다른 하룰그리워하며 흘러가겠지I just wanna get away with itForget me close your eyesForget me close your eyes같이 나눈 그 순간은눈 감으면 잊혀질까Forget me close your eyesForget me close your eyes wooleak out 우리 둘 사이로,"5,997"
이우,내 안부,2019.07.16,발라드,내 소식 들었지 너와 헤어지고참 많이 울고 힘들게 버티다이해심이 많은 좋은 사람을만나서 나는 잘 지내고 있어그런데 이상해아직 넌 힘들어한다는얘길 전해 들으니 네가 좀 걱정돼그녀에게 미안하지만 자꾸네가 생각나어떻게 지내 네 안부 참 궁금한데날 잊고 행복하길 바랬는데예쁜 사랑 하기를 바랬는데잘해주지 못한 날 왜 잊지 못하니들려오는 너의 안부못 들은 척 지나갈걸그게 안돼지금 여자친구힘들 때 내 곁으로 와너의 기억을 하나씩 지워줬어 고맙게나는 나쁜 놈인 가봐고작 너의 안부에가슴이 뛰고 왜 눈물이 나는 건데날 잊고 행복하길 바랬는데예쁜 사랑 하기를 바랬는데잘해주지 못한 날 왜 잊지 못하니들려오는 너의 안부못 들은 척 지나갈걸헤어짐을 말한 너를 미워도 하고후회하며 지내기를 바랬어널 잊고 행복하게 잘 살았는데예쁜 사랑 다시 시작했는데다 잊었다 생각하고 지내왔는데들려오는 너의 안부에결국 무너졌어,"64,521"
MSG워너비(M.O.M),바라만 본다,2021.06.26,발라드,내가 너라면 다 알아볼 텐데널 위할 사람 찾아낼 텐데지난 오랜 시간 너의 그 곁을지켜온 나라는 걸내가 너였다면 참 행복할 텐데한 사람을 다 가졌으니까둔한 바보도 눈치챌 그 사랑을너만 왜 모르니너를 바라만 바라만 본다외쳐 네 이름만 부른다보고 싶은 맘에 너를 향한 그 발걸음네 곁을 맴도는데오늘도 그리고 그리워하다애써 참았던 눈물이 흘러그저 멀리서만 바라보다또 소리쳐 네가 보고 싶다네가 나라면 더 참 아팠을 텐데슬픈 역할은 내가 맡을게웃는 모습만 보이며 살아가 줘내가 볼 수 있게너를 바라만 바라만 본다외쳐 네 이름만 부른다보고 싶은 맘에 너를 향한 그 발걸음네 곁을 맴도는데오늘도 그리고 그리워하다애써 참았던 눈물이 흘러그저 멀리서만 바라보다 또 소리쳐네가 보고 싶다한 걸음 더 다가갈까더 가까이 네게 갈까 OH어제보다 더 내일 더 널 사랑해I’ll make you love me someday혼자 바라고 바라만 보다울컥 그리움이 솟는다바보 같은 맘에 하지 못한 그 한마디널 사랑한다는 말얼마나 그리고 그리워해야내 맘 너의 곁에 닿게 될까매일 하루 종일 너의 생각에 사무쳐너무 보고 싶다,"179,223"
전상근,오늘따라 더 미운 그대가,2021.06.13,발라드,조금은 괜찮다 생각했는데이제는 잊혀질 때도 됐는데아무렇지 않다가도 그대가 없단 게아직 나에겐 어색한 걸까벅차도록 행복했던 그때가 그리워서추억이 녹아든 거릴 혼자 걸을 때면자꾸만 눈앞에 그대가선명히 보이네요그댄 아직도 왜내 맘속에 살고 있나요지금 그대는 나 없이도 행복하나요조금은 그대도 나처럼 아프긴 하나요아직 난 이별이 서투네요하나도 괜찮지가 않네요오늘따라 더 미운 그대가너무 보고 싶죠지워보려 애를 쓰고 아무리 외면해도추억은 더욱 아름답게 짙어져 가네요견뎌온 시간만큼더욱더 아픔이 커지네요그댄 아직도 왜내 맘속에 살고 있나요지금 그대는 나 없이도 행복하나요조금은 그대도 나처럼 아프긴 하나요아직 난 이별이 서투네요하나도 괜찮지가 않네요오늘따라 더 미운 그대가너무 보고 싶죠달랠 길 없는 이 마음을 어떡하나요난 아직도 그댈 사랑하는데지금 그대는 이런 나를 알고 있나요하루하루를 추억 속에 살고 있네요아직 난 모든 게 서투네요괜찮지가 않아요오늘따라 더 미운 그대가너무 보고 싶죠오늘따라 행복할 그대가너무 미워요,"25,817"
윤토벤,서툰 이별을 하려해 (Feat.전상근),2019.08.01,발라드,우리 이제 헤어지기로해 너도 알잖아 우린 충분했다는걸이별이 무서워 자꾸 피해보지만 이젠 정말 끝인걸우리 사랑이 우리 추억이 이젠 끝나가지만 함께한 기억은 내가 다 가져갈게끝이란걸 알지만 끝이라고 안할게 내눈에 비친 네 모습이 날 나쁘게 만들어나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래혹시 그때의 서로를 조금더 이해했더라면 우린 조금은 달라졌을까이제와서 이러는 내가 너무 이기적인가봐 내눈에 비친 네 모습이 날 나쁘게 만들어나 이제 너와 서툰이별을 하려해 많이 아프겠지만 이제 정말 헤어지려해 가끔 혼자 견디기 힘들어 나도 몰래 널 부르게되면 그냥 지나쳐줘 서툰이별이라서 그래우리의 최선은 여기까지인거같아 수고많았어 이젠 널 보낼게 같은 추억속에 우리를 이젠 보내줘야해 애써 그냥 웃으며 아무렇지 않게 널 보낼게우리 이제 정말 이별을 하려해 많이 아프겠지만 많이 힘들겠지만 혹시 우리가 다시 만나게 되는 날이 다가오면 그땐 꼭 안아줘 많이 보고싶었다고 말해줘,"81,227"
허각,흔한 이별,2018.11.28,발라드,매일 집으로 돌아가는 익숙한 골목 거리 사이불어온 볼 스치는 차가워진 이 바람을 따라걷다가 네 생각이 나 잘 지내니많이 바쁘게 지냈나 봐 너 없는 하루가 왜 그리느리게만 가는지 했던 게 어제 일만 같은데어느새 까맣게 잊고 살았나 봐이 계절이 널 기억하고 있나 봐우리가 헤어진 게 이맘때였어그때는 왜 그렇게 세상을 다 잃은 것만 같던지지나 지나고 보니흔한 이별인 듯 살아져너도 나처럼 어느새 잊었을까참 사랑했었던 애틋했던 우리 사이 이젠남들과 같나 봐지나보니 알 것 같아 다 내 잘못이었다는 걸들릴 듯 말 듯하게 나 혼잣말로 미안했다며별일은 없는지 너를 불러봐이 계절이 널 기억하고 있나 봐우리가 헤어진 게 이맘때였어그때는 왜 그렇게 세상을 다 잃은 것만 같던지지나 지나고 보니흔한 이별인 듯 살아져너도 나처럼 어느새 잊었을까참 사랑했었던 애틋했던 우리 사이 이젠남들과 같나 봐생각보다 많이 무뎌진 것만 같아서조심스레 괜찮다 말해볼 스치는 바람 따라 살며시 너를 싣고서이젠 보내줄래,"81,840"
포맨 (4MEN),눈 떠보니 이별이더라,2017.10.24,발라드,분명 나는 꿈을 꾼 거다눈 떠보니 이별이더라휴대폰을 확인해 봤더니다시 봐도 이별이더라헛웃음만 흘러나왔고두 다리는 풀려 버렸고문득 스친 네 얼굴 생각나 눈물이하염없이 쏟아지는데대체 무슨 짓을 한 건데엎질러진 물에난 젖은 채로 꼼짝 못하고그 수많은 이별 뒤에도넌 분명히 사랑이었다 정말내 옆에 있었잖아 늘 여기 있었잖아네가 날 떠나가면 그냥 가버리면이런 식이면 나 곤란한데눈 떠보니 이별이더라이건 절대 현실이 아니야눈 감으면 꿈이 될 거야애써 부정해봐도 이별이 맞잖아눈물마저 말라버리고네 이름만 중얼거리고움직이지 못하고웅크린 채 너만 외치고 그 수많은 이별 뒤에도넌 분명히 사랑이었다 정말내 옆에 있었잖아 늘 여기 있었잖아네가 날 떠나가면 그냥 가버리면이런 식이면 나 곤란한데꿈만 같던 사랑도다 이별하면 현실이야알람 하나 없이 깨어나한 번만 더 기회를 줘다시 하면 잘할 텐데내가 바보 같아 화가 나참을 수가 없다그 수많은 이별 뒤에도당연하게 이별이 온다 정말가슴을 찢어 놔도 네가 날 짓밟아도나 아닌 딴 사람과 평생 사랑해도나는 너 아니면 곤란한데평생 나는 너 아니면 안 되는데눈 떠보니 이별이더라,"115,681"
이소정,함께 했는데 이별은 나 혼자인 거야,2021.02.19,발라드,이젠 누군갈 만나는 게 난아직은 힘이 들것 같아다시는 믿고 싶지 않아왜 난 사랑을 하면 할수록뭐 그리도 어려운 건지홀로 남겨질 내게 또 미안해날 사랑한다며절대 안 떠나겠다며너를 많이 사랑했는데모든 걸 함께 했었는데이별은 나 혼자인 거야왜 이런 거냐고잠시 내가 미워진 거라면기다릴 수 있어 네가 돌아올 때까지날 놓지 말아 줘애써 날 위해주는 척하는너의 그 뻔한 표정에서네 맘의 끝을 봤어착각이길 바랐어이러지 말아 줘맘이 찢어질 것 같아너를 많이 사랑했는데모든 걸 함께 했었는데이별은 나 혼자인 거야왜 이런 거냐고잠시 내가 싫어진 거라면기다릴 수 있어 네가 돌아올 때까지날 놓지 말아 줘나만을 바라보겠단 너를 믿고네게 모든 걸 주고 사랑했었어그래 내가 널 보내야겠지내가 부족한 탓일까정말 많이 사랑했는데네 품에 안기고 싶은데다시 널 기다리는 내가참 비참해 보여다시 내게 돌아와 준다면나 울지 않을게그땐 내 곁에 있어줘날 놓지 말아 줘,"47,705"
이우,이별행동,2019.10.06,발라드,자꾸만 연락을 피하고 바쁘다며 약속을 미루고점점 변해가는 네 모습 무심한 말투 조금씩 넌 반대로 가고 있어다급했던 이별의 순간들 아직도 난 거짓말 같아서아름답게 웃던 네 모습 볼 수 없다고 생각하면 미칠 듯 아픈데 자꾸만 생각이나너무나도 사랑했었고 그런 내겐 전부였는데 이젠 너와 난 반대로 살고 있나 봐 사랑해 너밖에 없단 말 그 말 너무나도 그리워서 너를 보낼 수가 없나 봐 너를저 멀리 보이는 네 모습 웃고 있는 넌 잘 지냈나 봐찾아가지 말걸 그랬어 믿고 싶었는데 영화 같은 일 내겐 없나 봐 나를 다 잊은 거니너무나도 사랑했었고 그런 내겐 전부였는데 이젠 너와 난 반대로 살고 있나 봐 사랑해 너밖에 없단 말 그 말 너무나도 그리워서 너를 보낼 수가 없나 봐 행복해 보여 나 없이도 잘 지내는데 어떻게 난 널 잊고 살 수 있을까웃으며 내 품에 안긴 너 너의 모습이 죽을 만큼 그리워서 보낼 수가 없잖아 너를,"58,640"
김나영,널 미워하지 않길 (Prod. By 하동균),2016.12.30,발라드,그게 또 그래 이별이란 게생각과는 늘 다르게우리 좋았던 기억만전부 지우고 나타나그땐 또 그래 마음이란 게생각처럼 되질 않고우리 아프던 기억만 또전부 가지고 나타나마음에도 없었던 욕을 한참 퍼붓게 해날 미워하지 않길수 많은 밤도 잊지 않길우리의 기억들은빛나는 위로가 되기를우린 사랑했고아름다웠어그게 잘 안돼 널 잊는단 게생각 보다 쉽지 않아우리 사랑한 기억만 또자꾸 내 맘에 들어와한참 동안 아무 일없던 내 맘 힘들게 해아직 너는 내게 남아널 미워하지 않길수 많은 밤도 잊지 않길우리의 기억들은빛나는 위로가 되기를날 미워하지 않길기억의 끝에 왜 우린 서로가 왜 멈춰서사랑의 끝에 왜 우린 서로가 또 멈춰서이별의 끝에 왜 우린 서로가 왜 멈춰서우린 아파해야 하나날 미워하지 않길수 많은 밤도 잊지 않길우리의 기억들은빛나는 위로가 되기를날 미워하지 않길기억의 끝 그곳에 우린 멈춰서사랑했던 기억은 내게서만 달아나고어느 새부터 어쩌면 우린서로가 아닌 남이었을까우린 사랑했고 지금 우린 끝,"21,895"
다비치,마치 우린 없었던 사이 (Prod. 정키),2018.07.12,발라드,비 내리는 날 창가에 앉아서두르던 일상을 달래다울적해진 마음잡고 써 내려가다울컥 눈물만헤어진단 게 낯설기만 해하루하루를 그저 버티다가누군가 내게 네 얘길 물을 때면울컥 눈물만어두워지면 밤하늘을 헤매다잠시 잊었던 혼자라는 생각에밤새 뒤척이다네 생각에 잠 못 드는 날엔 그저 눈물만다른 사람을 만난다면그땐 꼭 바랄게나보단 너를 더 이해하길우리 뜨겁게 사랑했던 기억모두 다 지우고만난 적 없었던 것처럼Oh YouOh You마치 우린 없었던 사이어두워지면 밤하늘을 헤매다잠시 잊었던 혼자라는 생각에밤새 뒤척이다네 생각에 잠 못 드는 날엔그저 눈물만다른 사람을 만난다면그땐 꼭 바랄게나보단 너를 더 이해하길우리 뜨겁게 사랑했던 기억모두 다 지우고만난 적 없었던 것처럼그렇게 뱉어놓은 그 많은 말들은없어마치 우린 없었던 사이다른 사람을 만난다면그땐 꼭 바랄게나보단 너를 더 이해하길우리 뜨겁게 사랑했던 기억모두 다 지우고만난 적 없었던 것처럼Oh You마치 우린 없었던 사이,"50,059"
송하예,니 소식,2019.05.11,발라드,그때의 우리 사랑뜨겁고 치열했는데끝나보니 남는건 미움뿐몇번의 계절을 더보내야 괜찮아 질까미련이 듬뿍 남은 하루를 보내친구들과 통화에우연히 들은 니 소식다른 사랑을 시작해잘 지낸다고한땐 소중했었고많이 사랑했었던우리둘은 이젠 남이 됐고모르는 사람이야넌 완벽히 잊었나봐이렇게 넌 잘사는데괜한 걱정을 했나봐나만 힘든가봐너도 내 소식을전해 들었으면 좋겠어아직은 좀 힘들어 한다는미안한 마음갖고가끔씩 날 생각해줘그래야 내 맘이 좀편할거 같아니옆에 다른 사람있다는게 참 낯설어뭔지 모를 서운함은이기적인 거니한땐 소중했었고많이 사랑했었던우리둘은 이젠 남이 됐고모르는 사람이야넌 완벽히 잊었나봐이렇게 넌 잘사는데나만 끝을 미뤘나봐나만 그랬나봐솔직한 맘을 말하면좋은 사랑 안했으면 해가슴아프게 지내길 바랬어너는 행복하겠지많이 설레이겠지나 없이도 웃는 니 모습에이제야 실감이나넌 완벽히 떠났나봐확실히 날 떠났나봐난 니가 너무 미워져행복하지 말아줘잘지내지 말아줘좋은 사람 만나 다행이란말은 거짓말이야네 소식 들은 그날밤펑펑 울다가 밤을 샜어늦어버린걸 알지만어쩔수 없나봐,"195,082"
권진아,이별 뒷면,2018.02.02,발라드,좁은 골목길은 또 하염없이 멀어져마주앉은 탁자 반대편마저도뻗어봐도 맞닿을 수가 없어서내 맘 언제부턴가 긴 그늘을 드리워우리는 서로가 괜찮다 하는데완전히 돌아갈 수는 없는 걸감았다 떠보니 너무 멀리 와있어이제 이별 뒷면에 서있는 우리내게 넌 벅차도록 행복했던 꿈이제 마지막 장을 넘겨야겠어많이 아플 테지만언젠가는 해야겠지그대 이유 같은 거 찾는 얼굴 말아요우리는 충분히 할 만큼 했는걸그러니 더 아무 말도 말아줘그저 날 보면서 예전처럼 웃어줘이제 이별 뒷면에 서있는 우리내게 넌 벅차도록 행복했던 꿈이제 마지막 장을 넘겨야겠어많이 아플 테지만언젠가는 해야겠지후회하지 마요우리 같이 나눈 시간그 한 순간도의미 없는 날은 없었고또 다시 가도 너일 테니까이제내게 넌 벅차도록 행복했던 꿈이제 마지막 장을 넘겨야겠어많이 아플 테지만언젠가는 해야겠지고마웠어 여기까지,"58,835"
아이유,첫 이별 그날 밤,2010.12.09,발라드,멍하니 아무 일도 할 일이 없어이게 이별인 거니전화기 가득 찬 너와의 메시지만한참 읽다 읽다너의 목소리 마치 들린 것 같아주위를 둘러보면내 방엔 온통 너와의 추억투성이이제야 눈물이수고했어 사랑 고생했지 나의 사랑우리 이별을 고민했던 밤서로를 위한 이별이라고사랑했단 너의 말을 믿을게혹시 너무 궁금해혹시 너무 그리우면꼭 한 번만 보기로 해너의 뒷모습 사라질 때까지봤어 마지막이라서나 먼저 떠나면어깨 들썩여 우는내 뒷모습 싫어서수고했어 사랑 고생했지 나의 사랑우리 이별을 고민했던 밤서로를 위한 이별이라고사랑했단 너의 말을 믿을게혹시 너무 궁금해혹시 너무 그리우면꼭 한 번만 보기로 해좀더 예뻐져도 훨씬 더 세련되져도후회하지 마 나를 놓친걸누군가 딴 사람 만나면내게 들리도록 막 자랑해줘그때서야 끝낼게내게 돌아올지 모를너를 꿈꾸는 그 밤을할말 끝 안녕 내 사랑,"93,388"
스웨덴세탁소,우리가 있던 시간,2012.09.07,발라드,생각한다 지난 날들눈이 부시도록 아름다웠던사라진다 뜨겁게 안아주던네 손 끝 향기가들려온다 너의 그 노래가날 부르는 목소리가불러본다 서툴게 날 맴돌던내 기억 속 그 이름을짧은 하루라도 숨이 멎을 것 같아밀려오는 잔상들로미치도록 그리던 순간들로또 널 기다려본다흩어진다깊게 새겨졌던우리의 시간들이잡지 못해 작아진 뒷모습도이젠 닿을 수가 없잖아짧은 하루라도숨이 멎을 것 같아 밀려오는 잔상들로미치도록 그리던 순간들로또 널 기다려본다사라질 것 같던우리의 시간들이아직도 날 붙잡고한번만 더 너를 담게 된다면그 땐 놓지 않을게우릴 놓지 않을게,"26,461"
강민경 (다비치),사랑해서 그래,2019.02.27,발라드,잘 있니 잘 지내니나는 요즘 부쩍네가 보고 싶어그래 알아 너는 다신내가 보기 싫지 음왜 그리 겁이 났었는지영원한 사랑을 바라던 눈빛그게 난 숨이 막혔어그땐 어려서나밖에 몰랐었어미안해서 너무 미안해서돌아가지 못하는 이런 날 이해해나 다시 너를 만나면 또 같은 이유로분명 멀어질 걸 알고 있어참을 수밖에잊지 못해 어떻게 널 잊어보내지도 못하는 이런 날 알아줘바뀌지 않을 나라서또 같은 이유로우리 아파할 걸 알고 있으니괜한 투정에 웃어주던미운 말들을 안아주던너는 이젠 내 곁에 없는데혼자 이렇게널 놓칠 못하겠어미안해서 너무 미안해서돌아가지 못하는 이런 날 이해해나 다시 너를 만나면 또 같은 이유로분명 멀어질걸 알고 있어참을 수밖에잊지 못해 어떻게 널 잊어보내지도 못하는 이런 날 알아줘바뀌지 않을 나라서또 같은 이유로우리 아파할 걸 알고 있으니붙잡아줘 먼저 날 잡아줘많이 후회했었어 끝내 말 못해서마지막 너의 표정이 그 슬픈 얼굴이전부 나 때문인 걸 알기에참을 수밖에사랑해서 많이 사랑해서가늠하지 못하는 시간 지나가도그래도 변치 않는 건또 같은 이유로영원히 널 그리워할 것 같아,"32,144"
정효빈,처음이라서,2019.04.16,발라드,떨어질 줄 몰랐던 너의 품도잡은 손에 스치던 봄바람도떨리던 입맞춤도 맞춰 걷던 걸음도내겐 모두 처음이라서고된 하루 끝을 토닥여 준 것도작은 편지로 큰 눈물을 준 것도벚꽃과 여름바다 단풍과 함박눈이처음이라서 힘든가 봐나의 첫 사람이 내 첫사랑이 너라서처음이라서 유난히 아픈가 봐시간이 지나면 다 무뎌지는 날언젠가 오겠지그때까지만 더 아파해볼게누군가를 위한 노랠 부른 것도세상에 누군가를 자랑한 것도너를 떠올리는 게나를 떠올리는 일이 되는 게익숙해져 버려서나의 첫 사람이 내 첫사랑이 너라서처음이라서 유난히 아픈가 봐시간이 지나면 널 보며 웃는 날언젠가 오겠지그때까지만 더 아파해볼게사실은 겁이 나 이젠어딜 가도 너와의 추억만 있을까 봐그래도 처음이라힘든 거니까 더 아픈 거니까처음엔 다 그런 거니까고생했어 많이 행복했었어 너라서다 너라서 유난히 좋았나 봐시간이 지나면 먼 추억이 되어언젠간 웃겠지 참 좋았어 네가내 처음이라서,"58,756"
아이유,나만 몰랐던 이야기,2011.02.17,발라드,정말 넌 다 잊었더라반갑게 날 보는 너의 얼굴 보니그제야 어렴풋이 아파오더라새 살 차오르지 못한 상처가눈물은 흐르질 않더라이별이라 하는 게 대단치도 못해서이렇게 보잘것없어서좋은 이별이란 거결국 세상엔 없는 일이라는 걸알았다면 그때 차라리 다 울어둘 걸그때 이미 나라는 건네겐 끝이었다는 건나만 몰랐었던 이야기사랑은 아니었더라내 곁에 머물던 시간이었을 뿐이제야 어렴풋이 알 것만 같아왜 넌 미안했어야만 했는지내가 너무 들떴었나 봐떠나는 순간마저 기대를 했었다니얼마나 우스웠던 거니좋은 이별이란 거결국 세상엔 없는 일이라는 걸알았다면 그때 차라리 다 울어둘 걸그때 이미 나라는 건네겐 끝이었다는 건나만 몰랐었던 이야기,"110,811"
윤하 (YOUNHA),오늘 헤어졌어요,2009.12.11,발라드,새하얀 머플러에 얼굴을 묻고붉어진 눈을 깜빡이며 널 기다렸어무슨 얘길 하고 픈지 그 말알 것도 같은데 모르겠어어색한 눈인사에 목이 메이고한 발 물러 선우리 둘 공간에 눈물 터지고화가 나서 소리치듯 가란 내 말에벌써 넌 아주 멀리 달아나 버렸어오늘 헤어졌어요 우리 헤어졌어요내 맘 알 것 같다면옆에서 같이 울어줘요나는 안되나봐요 역시 아닌가봐요얼마나 더 울어야 제대로 사랑 할까요귓가엔 심장소리 그대 울리고지운 니 번호 지울수록더욱 또렷 해지고언제부터 어디부터 멀어진 건지분명히 어제까진 날 사랑 했는데오늘 헤어졌어요 우리 헤어졌어요내 맘 알 것 같다면옆에서 같이 울어줘요나는 안되나봐요 역시 아닌가봐요얼마나 더 울어야 제대로 사랑 할까요참 좋았어 너무 좋아서 더 아프죠사랑에 또 속은 내가 미워그냥 나오지 말 걸 그냥 아프다 할 걸우리 사랑한 기억그게 널 붙잡아 줄 텐데너는 내일을 살고 나는 오늘을 살아아무도 아무것도 날 웃게할 수는 없어오늘 헤어졌어요 우리 헤어졌어요내 맘 알 것 같다면옆에서 같이 울어줘요나는 안되나봐요 역시 아닌가봐요얼마나 더 울어야 제대로 사랑 할까요,"82,624"
