,가수명,노래제목,발매일,가사,좋아요수,감정
0,양다일,Darling,2020-11-23,Oh darling 처음 널 만나면 수줍은 대화들로 사랑에 빠질 거야 My darling 아마도 우린 손을 마주 잡고서 도시를 거닐 거야 비라도 오면 골목 어귀에 발을 멈추고서 바라보다가 입을 맞출지도 몰라 어둠이 오면 밝게 빛나는 별빛들 아래서 음악에 취해 서로에게 기대어 Darling My darling 멈춰버린 시간 속에서 우리 둘이서 영원토록 Darling My darling 함께 할 거야 너의 곁에서 눈을 감을 때까지 Oh darling 잊지 못할 거야 서로를 품에 안고 온기를 느끼던 날 My darling 따스할 거야 함께 잠이 들 때면 비추는 햇살들이 가끔씩 우린 아쉬울 거야 다른 모습들에 말을 멈추고 어색한 침묵이 올 때면 서운한 마음에 다투다 보면 오직 둘만 아는 그런 말들로 가벼운 미소가 될 거야 Darling My darling 멈춰버린 시간 속에서 우리 둘이서 영원토록 Darling My darling 함께 할 거야 너의 곁에서 눈을 감을 때까지 널 처음 마주한 순간 알 수 있었어 나를 보며 지었던 그 미소 그게 내 전부란 걸 Darling My darling 설레이는 내 마음을 담아 너에게 고백할게 영원토록 Darling My darling 나를 안아줘 너의 곁에서 눈을 감을 때까지 눈을 감을 때까지 눈을 감을 때까지 ,10907,happy
1,장범준,잠이 오질 않네요,2020-10-24,당신은 날 설레게 만들어 조용한 내 마음 자꾸만 춤추게 해 얼마나 얼마나 날 떨리게 하는지 당신이 이 밤을 항상 잠 못 들게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 오오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 당신이 날 힘들게 만들어 갑자기 내 마음 자꾸만 멍들게 해 얼마나 얼마나 잠 못 들게 하는지 고요한 내 마음 항상 시끄럽게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 매일 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대여 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 ,159018,happy
2,백아연,어디라도,2020-11-18,우연의 다른 이름은 운명이란 걸 배웠죠 우리 사랑의 끝이 없는 걸 이제서야 알았죠 어디라도 난 느낄 수 있죠 겨우 한 발 멀어져 있는 거겠죠 손을 내밀면 닿을 수 있는 곳에 그대가 있겠죠 멈춘 가슴이 뛰어요 우리 처음 본 날처럼 문득 스쳐 지나는 기억에 습관처럼 웃어요 어디라도 난 느낄 수 있죠 겨우 한 발 멀어져 있는 거겠죠 손을 내밀면 닿을 수 있는 곳에 그대가 있겠죠 왜 먼저 사랑하고 이별만 알려줘서 두 볼에 눈물을 흐르게 했나요 어디라도 난 느낄 수 있죠 내게 사랑이란 한 번뿐이겠죠 혹시 내 옆에 다른 사람 있어도 사랑은 아니죠 ,1622,happy
3,김제훈,Love Again,2017-02-06,언제부터였을까 따뜻한 휴식을 찾고 있을 때 찾고 있을 때 그때부터였을까 맘이 포근해진 걸 너를 봤을 때 너를 봤을 때 꿈에 그려 봤던 아름답고 멋진 곳을 향해 걸어 봐요 그대와 함께 그대와 함께 어딘가에 있을 그대 슬픔 모두 내가 다 지워 줄게 내 손을 잡고 내 손을 잡고 I Fall In Love Again 불안할 때 나를 강해지게 만드는 한 사람 I Fall In Love Again 아껴줄게 세상의 행복을 다 느낄 수 있게 맑은 햇살 같은 미소를 볼 때면 하루가 즐거워져 이대로 함께 그대와 함께 넓은 세상에서 우연히 만났던 그날을 기억할게 내 손을 잡고 그대 손을 붙잡고 I Fall In Love Again 불안할 때 나를 강해지게 만드는 한 사람 I Fall In Love Again 아껴줄게 세상의 행복을 다 느낄 수 있게 어두웠던 지난날 다시 행복을 찾아준 너에게 어떤 말로 표현할지 낯선 길을 걸어도 나란히 옆에서 있는 널 볼 때면 I Love You Everyday I Fall In Love Again 불안할 때 나를 강해지게 만드는 한 사람 I Fall In Love Again 아껴줄게 세상의 행복을 다 느낄 수 있게 ,980,happy
4,김제훈,잠잠,2020-03-17,오랜만에 거길 가봤어 아무도 없는 둘만이 알던 곳 함께 걷던 거리에 서서 아무 말도 못한 채 한참을 니 생각했어 이런저런 story 떠오른 memory 여전히 넌 예쁜지 이런 내 맘을 너는 알까 애써 멀어지는 나인데 잠잠하던 내 맘에 자꾸 불을 지펴 왜 잔잔한 내 마음에 자꾸 돌을 던져 왜 우린 끝난사이잖아 흔한 추억팔이잖아 그냥 모르는 척 지나쳐야 해 잠잠 잠잠 마지막을 기억해 돌아섰던 순간도 넌 아직 나를 미워할 거야 아무렇지 않은 듯 하루 끝을 정리하다 문득 너를 생각했어 그 날 그 때 우리 떨리던 목소리 여전히 들리는지 이런 내 맘을 너는 알까 다시 다가가고 싶은데 잠잠하던 내 맘에 자꾸 불을 지펴 왜 잔잔한 내 마음에 자꾸 돌을 던져 왜 대체 왜 이러는거야 서로 원하고 있잖아 그냥 모르는 척 지나치기엔 점점 점점 친구들은 내게 말해 이젠 좀 잊으라고 다른 더 좋은 사람 만나라고 남이 되고야 알았어 갈 곳을 잃은 것처럼 갈수록 허전함뿐인걸 잠잠하던 바람아 나를 간지럽혀 왜 잠잠한 너 때문에 내 맘이 타들어가 대체 왜 이러는거야 서로 원하고 있잖아 애써 외면하는 우리 둘 사이 잠잠하던 내 맘에 자꾸 불을 지펴 왜 잔잔한 내 마음에 자꾸 돌을 던져 왜 우린 끝난사이잖아 흔한 추억팔이잖아 그냥 모르는 척 지나쳐야 해 잠잠 잠잠 ,548,happy
5,죠지,바라봐줘요,2019-02-21,그대를 다시 볼 수 있다는 생각을 해요 아마도 우린 끝없이 멀리 돌아만 왔죠 엊그제부터 또 생각이 나서 이제 더는 안될 것 같아 그대에게 말해요 아무런 의미 없는 일상에 들어와줘요 그대와 함께하고 싶은 게 참 많은걸요 익숙해질 즘 그댈 기다리는 게 왠지 마주칠 것만 같아 마음이 떨려요 I’m the one who found your love 그대 안에 내가 번져서 그간에 맘들이 모두 녹아내리면 내가 꿈꿔왔던 것처럼 그렇게 나를 바라봐줘요 혼자서 잠 못 이루고 널 떠올렸던 밤 별들이 반짝이던 그날에 기도했었죠 그대를 다시 다시 볼 수 있다면 어디에 있건 당장이라도 달려갈 텐데 I’m the one who found your love 그대 안에 내가 번져서 그간에 맘들이 모두 녹아내리면 내가 꿈꿔왔던 것처럼 그렇게 나를 바라봐줘요 I’m the one who found your love 그대 안에 내가 번져서 그간에 맘들이 모두 녹아내리면 내가 꿈꿔왔던 것처럼 그렇게 나를 바라봐줘요 ,70395,happy
6,김제훈,너만 생각하면,2018-01-29,오늘도 어김없이 빗나가는 말투들에 긴 싸움 끝에 결국 널 울리고 말았어 처음에 약속했던 너의 행복을 위해 나를 다 주겠단 그 약속 왜 이리 힘든 걸까 이 모든 게 내 탓인 걸 난 너만 생각하면 설레임이란 세 글자를 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 자주 일어나는 사소한 다른 입장 속에서 이해라는 두 글자가 오해로 변했어 억지로 참아 봐도 마주 보는 얼굴 속에서 어둡게 피어난 미움들 왜 이리 힘든 걸까 이 모든 게 내 탓인 걸 난 너만 생각하면 설레임이란 세 글자를 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 익숙함에 빠져 너를 힘들게 했지만 오직 내가 기댈 사람 너뿐이니까 난 너만 생각하면 매일 새로운 설레임을 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 믿어줘 ,375,happy
7,웬디 (WENDY),두 글자,2020-11-15,그대 아무 말 없어도 나의 눈빛은 그대만 봐요 눈망울에 숨겨놓은 그대 이야기 이젠 조금씩 내게 느껴져요 왜 나였는지 언제인지 중요하지 않아요 지금 이 순간 지금 내 곁에 그대라면 사랑이란 두 글자 정말 이상해 귓가에 스쳐만 가도 가슴이 떨리는 내 마음을 어떡할까요 날리는 바람에 흘려 보내봐도 다시 꽃피는 이 사랑을 아무 생각 말아요 그대 걷는 길 어디라 해도 내 마음이 그대 머문 자리에 나를 데려다 줄 테니 걱정이 없죠 어둠이 내린 저 하늘에 밝게 빛나고 있는 별처럼 내 맘이 그대의 길을 비추죠 사랑이란 두 글자 정말 이상해 귓가에 스쳐만 가도 가슴이 떨리는 내 마음을 어떡할까요 날리는 바람에 흘려 보내봐도 다시 꽃피죠 수 없는 날들을 기다려 왔던 내 맘이 그대에게 한 걸음씩 가까워 지고 있죠 사랑이란 두 글자 왜 이래 떠올려 보기만 해도 심장이 떨리는 내 마음이 왜 이럴까요 환한 햇살 속에 숨겨 보려 해도 눈치 없이 다시 피어나죠 ,12288,happy
8,김제훈,Love Road,2017-07-24,매일 마다 만드는 우리의 부드럽고 예쁜 스토리 오늘은 유난히 멋 좀 부리고 제일 먼저 네게 전활 걸어 지금 어디야 오늘 뭐 할래 퉁명스런 너의 말투 나와 갈 곳이 있어 널 위한 Drive 너와 나만의 Love Road 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 너와 함께 와 I Just Wanna Love You Forever 모든 게 그림인 걸 내게 가까이 와줘 한 손엔 널 품고 달려 너무나도 특별한 널 위한 Drive 너와 나만의 Love Road 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 너와 함께 와 I Just Wanna Love You Forever 달리는 풍경들이 눈이 부셔 예쁜 걸 그 옆엔 So Beautiful Girl 지금 누비고 있는 이 하늘아래 You're My Sunshine Of My Life 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 너와 함께 와 I Just Wanna Love You Forever 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 언제까지나 I Just Wanna Love You Forever ,150,happy
9,태연 (TAEYEON),겨울나무 (I'm all ears),2017-12-12,어제보다 많이 지쳐 보이는 그대의 표정 만져 보곤 알죠 바람이 또 아프게 했나요 왜 아무 말 못해요 좀 솔직해져도 돼요 내게 전부 말해봐요 밤을 새도 괜찮아요 차갑던 그대 하루가 나로 인해 녹을 수 있게요 I am all ears I am all ears 듣고 있죠 두 눈 꼭 감아요 춥지 않게 다 덮어줄게요 눈치 보지 마요 혼자 견디지 않아도 되죠 왜 아무 말 없어요 좀 표현을 해도 돼요 내게 전부 말해봐요 밤을 새도 괜찮아요 차갑던 그대 하루가 나로 인해 녹을 수 있게요 걱정이죠 혹시 또 애써 서 있을까 봐 좀 더 참아요 여기 항상 내가 이 자리에 천천히 다 말해봐요 매일 나 귀 기울여요 차갑던 계절 지나면 또 피어날 거란 걸 알아요 I am all ears I am all ears 듣고 있죠 ,17817,happy
10,성시경,첫 겨울이니까,2019-12-09,무얼 고를까 추운 겨울이니까 캐시미어 스웨터는 어떨까 처음이니까 초록이 날까 다홍색은 어떨까 보라 빛 밤 구름 사이로 하얀 눈이 내리면 크리스마스 온 세상이 반짝이네 크리스마스 그중 제일 반짝이는 숨막히게 예쁜 너와 우리 둘만의 첫 겨울이니까 뭐가 좋을까 로즈 골드 빛 목걸인 어떨까 언젠가 풀 반지 곱게 엮어 고백을 할 땐 눈이 오면 좋겠어 크리스마스 온 세상 포근해 지네 크리스마스 그 중에 가장 따듯한 너의 품 속에서 항상 너의 곁에서 사랑해 있잖아 널 보면 나의 맘에 눈처럼 가득히 날리고 영원토록 녹지 않아 우리의 겨울이 우리 사랑이 하얗게 쌓여가 크리스마스 사랑만 가득히 크리스마스 온 세상 환희 반짝이네 크리스마스 그 중에 제일 반짝이는 숨막히게 예쁜 너와 멋진 너와 크리스마스 사랑만 가득히 온 세상 메리 크리스마스 그 중에 가장 따듯한 잠든 너의 품속에서 내 품속에서 잠든 네 꿈속에서 항상 너의 곁에서 늘 우리 둘이서 ,58622,happy
11,로꼬,Say Yes,2016-08-29,니 눈앞에 왔잖아 내가 여기 있잖아 너의 입술로 말을 해줘 say yes say yes 나도 모르게 너에게 가고 있나봐 부는 바람에 내 맘 전할래 love is true 간지럽게만 느껴지던 눈 빛이 이제는 익숙 하단듯이 웃음 짓지 그 쪽으로 걸어가기만 하면 돼 라고 친구들은 계속해서 날 부추기지만 아직은 무거운 구두의 뒷 굽 차라리 벗어버리고 싶은 이 밤의 끝 손을 내밀어 줬으면 해 맨발로 너에게 뛰어갈 수 있게 끔 복잡하기만한 하루에 매 시간 머리를 굴리지만 난 지금에서야 깨달은 건데 결국 다 버려지고 너만 남아 지난 봄에는 널 우연히 봤고 더 이상은 우연이 아니였으면 해 스치기만 했던 너의 손을 잡고 어떤 길이라도 같이 걸었으면 해 니 눈앞에 왔잖아 내가 여기 있잖아 너의 입술로 말을 해줘 say yes say yes 나도 모르게 너에게 가고 있나봐 부는 바람에 내 맘 전할래 love is true i need u baby 너에게 하고 픈 말 내가 못다한 말 baby baby baby boy love is true 어디든 갈 수 있어 이건 거짓말이 아니야 이제부터는 나의 옆이 제일 편한 자리야 입술을 오므리고 내는 소리와 같이 내 이름을 불러줬음 좋겠어 내가 뒤로 떨어져서 걷더라도 단지 이 목소리를 들어줬음 좋겠어 니 눈앞에 왔잖아 내가 여기 있잖아 너의 입술로 말을 해줘 say yes say yes 나도 모르게 너에게 가고 있나봐 부는 바람에 내 맘 전할래 love is true 내가 바라는 단 한가지 니가 내곁에 있어주는 것 니가 날 보며 웃어주는것도 내 얘길 들어주는것도 난 그걸로도 충분한데 you 너를 보며 웃잖아 두 눈이 말하잖아 너도 이렇게 대답해줘 say yes say yes 너라서 좋아 니가 날 울려도 좋아 너는 나의 모든 전부니까 love is true i need u baby 너에게 하고 픈 말 내가 못다한 말 baby baby baby boy love is true ,89514,happy
12,긱스 (Geeks),"Officially Missing You, Too",2012-11-01,"애써 너에게 건냈던 말 good bye 이젠 혼자 남게된 이 밤 without you 난 아직도, I'm officially missing you 널 기다리던 밤처럼 길고 어둡던 우리 사이 공백 이게 끝이 아니길 바래 I wanna go back 너가 원하던 거 다 고친 지금에야 넌 어디로 갔는지 난 홀로 남아 lonely 오늘 따라 부는 바람도 참 시린 것 같은데 넌 왜이리 멀쩡해 보이는 건지 눈치도 없는 너지만 예전처럼만 웃어주면 돼 Ooo can't nobody do it like you Said every little thing you do Hey baby say it stays on my mind And I I'm officially missing you 나에겐 너 하나뿐인 걸 너 땜에 아파하는 걸 널 잊으려고 노력해봐도 잘 안돼 널 미워하는 건 too hard 너무 어려워 날 몰라주는 너도 서러워 I'm officially missing you officially missing you yeah I'm officially missing you, too 내가 아무 말도 하지 못한 이유 우리 사이 공백은 너무 길고 어떤 단어보다 너가 meaningful on another round 더 멀어져 가며 흘러가는 어색했던 오늘 하루가 내겐 아쉽고 어제로 남아있어 이 밤이 지나도 아직도 여기 있어 여전히 내 머릿속 너 때문에 늘 뒤척거리는 매일 밤 내 마음만 더 지쳐가 가로등 불은 거릴 비춰 흔들거리는 속을 변기 위에 비워 어 아무리 속을 비워도 남은 추억으로 취해 어지럽고 girl 난 아직 기댈 곳이 필요해 so 이 노래로 너를 씻어내 습관처럼 그리워해 날 보며 웃는 니 사진을 내 두 눈에 담고 미소를 지으면 다시 할 수 있을까 oh 그날처럼 나에겐 너 하나뿐인 걸 너 땜에 아파하는 걸 널 잊으려고 노력해봐도 잘 안돼 널 미워하는 건 추억 속 너에겐 못된 일이라 난 할 수가 없어 이렇게 널 그리워하는 날 알고 있는지 나에겐 너 하나뿐인 걸 너 땜에 아파하는 걸 널 잊으려고 노력해봐도 잘 안돼 널 미워하는 건 too hard 너무 어려워 날 몰라주는 너도 서러워 I'm officially missing you officially missing you can't nobody do it like you Said every little thing you do Hey baby say it stays on my mind And I I'm officially missing you ",123533,happy
13,비비 (BIBI),"아주, 천천히",2022-02-20,눈빛만으로 알 수가 있지 어떤 세상을 살아왔는지 처음 내민 너의 따뜻한 손길에 내 마음이 전부 녹아내 우린 서로 앞을 주저하고 현실 속에 무너져 가던 이런 나를 잊어가게 해 I'm telling the truth 너에게 가는 중 이젠 나를 봐줘 내가 다가갈게 천천히 아주 천천히 손짓만으로 알 수가 있지 너가 얼마나 착한 애인지 우리가 지나왔던 시간들이 이제야 날 버티게 해 우린 서로 앞을 주저하고 현실 속에 무너져 가던 이런 나를 잊어가게 해 I'm telling the truth 너에게 가는 중 이젠 나를 봐줘 내가 다가갈게 천천히 아주 천천히 ,35147,happy
14,경서,밤하늘의 별을(2020),2020-11-14,밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘 참 많이 어색했었죠 널 처음 만난 날 멀리서 좋아하다가 들킨 사람처럼 숨이 가득 차올라서 아무 말 하지 못했는데 너는 말 없이 웃으며 내 손 잡아줬죠 밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘 널 좋아하는 내 마음이 표현이 안 돼 꿈이 아니면 좋겠어 자꾸 웃음 나와 내 모든 걸 다 준대도 너에겐 아깝질 않아 이 순간이 영원하길 난 정말 행복해 밤하늘의 별을 따서 너에게 줄래 너는 내가 사랑하니까 더 소중하니까 오직 너 아니면 안 된다고 외치고 싶어 그저 내 곁에만 있어줘 떠나지 말아줘 그저 내 곁에만 있어줘 떠나지 말아줘 많고 많은 사람 중에 너를 만나서 행복하고 싶어 두 번 다시 울지 않을래 오직 내 눈에는 너만 보여 나를 아껴줘 이제부터 혼자가 아니야 우린 함께니까 나나나 난난 난난나 나나나 난난 난난나 나 나나나 난난 난난나 나나난나 나나나 난난 난난나 나나나 난난 난난나 나 나나나 난난 난난나 나나난나 ,197543,happy
15,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요,2021-03-14,따스한 바람이 불어오는 날엔 포근한 미소로 나를 또 반겨주던 그대란 사람 설레는 이 맘 이렇게 난 너에게 빠졌나 봐 무심한 듯 곁을 지켜주던 그대 느껴본 적 없는 이런 설렘이 누군가를 짝사랑하는 마음인가 봐 그냥 아쉬움만 남는걸 이렇게 좋아해 본 적이 없어요 눈만 뜨면 그대가 참 보고 싶어요 오늘은 그대 내 곁에서 그저 머물러줘요 그리고 내 손잡아 주세요 꼭 안아 주세요 나를 데려다주던 그날 밤 문득 내게 건넨 그 한마디에 괜스레 얼굴이 붉어지고 조심스럽게 oh oh oh 그대에게 oh oh oh 사랑스러운 그대 귓가에 속삭여줄게요 사실 그대와 있던 모든 순간은 내게는 소중하고 너무나 고마워서 정말 아름다워요 조심스럽게 oh oh oh 그대에게 oh oh oh 사랑스러운 그대 귓가에 고백해볼게요 이렇게 좋아해 본 적이 없어요 눈만 뜨면 그대가 참 보고 싶어요 오늘은 그대 내 곁에서 그저 머물러줘요 그리고 내 손잡아 주세요 꼭 안아 주세요 부담스럽지 않게 다가가 볼게요 부디 날 미워하지 말아요 그저 매일 이렇게 날 보며 웃어줘요 더는 바랄 게 하나 없죠 이렇게 좋아해 본 적이 없어요 눈만 뜨면 그대가 참 보고 싶어요 오늘은 그대 내 곁에서 그저 머물러줘요 그리고 내 손잡아 주세요 꼭 안아 주세요 ,67373,happy
16,멜로망스,선물,2017-07-10,빛이 들어오면 자연스레 뜨던 눈 그렇게 너의 눈빛을 보곤 사랑에 눈을 떴어 항상 알고 있던 것들도 어딘가 새롭게 바뀐 것 같아 남의 얘기 같던 설레는 일들이 내게 일어나고 있어 나에게만 준비된 선물 같아 자그마한 모든 게 커져만 가 항상 평범했던 일상도 특별해지는 이 순간 별생각 없이 지나치던 것들이 이제는 마냥 내겐 예뻐 보이고 내 맘을 설레게 해 항상 어두웠던 것들도 어딘가 빛나고 있는 것 같아 남의 얘기 같던 설레는 일들이 내게 일어나고 있어 나에게만 준비된 선물 같아 자그마한 모든 게 커져만 가 항상 평범했던 일상도 특별해지는 이 순간 너를 알게 된 뒤 보이는 모든 것들이 너무 예뻐 보여 그렇게 신난 아이처럼 순수한 사람이 된 것 같아 나에게만 준비된 선물 같아 자그마한 모든 게 커져만 가 항상 평범했던 일상도 특별해지는 이 순간 깊은 사랑에 빠진 순간 ,334594,happy
